Time,Day_Ahead_Price
1,50.87
2,48.19
3,44.68
4,42.92
5,40.39
6,40.2
7,39.63
8,40.09
9,41.27
10,44.88
11,45
12,47.2
13,50.78
14,45.49
15,44.73
16,46.59
17,52.99
18,60.26
19,60.61
20,60.36
21,57.4
22,53.86
23,53.45
24,49.72
25,46.69
26,42.43
27,41.09
28,40
29,37.55
30,39
31,42.09
32,44.96
33,48.45
34,52
35,52
36,52.15
37,55.95
38,52
39,50.69
40,53.45
41,59.99
42,62
43,63.08
44,62.17
45,60.03
46,55.03
47,52.25
48,48.45
49,46.11
50,43
51,39.55
52,35.18
53,33.45
54,32.37
55,31.7
56,32.63
57,36.9
58,36.96
59,36.96
60,43.72
61,47.71
62,40.41
63,39.66
64,39.57
65,36.11
66,45.04
67,52.56
68,45.84
69,35.83
70,33.31
71,34.98
72,27.39
73,29.33
74,24.82
75,24.65
76,24.8
77,27.71
78,28.58
79,37.04
80,52.03
81,55.76
82,57.06
83,57.18
84,60
85,61.27
86,60.28
87,60.07
88,59.46
89,61.99
90,66.82
91,61.97
92,55.06
93,47.34
94,45.64
95,48.93
96,44.64
97,37.54
98,40.07
99,39.81
100,39.65
101,40.2
102,44.26
103,47.06
104,54.96
105,63.67
106,64.73
107,66.07
108,65.97
109,65.46
110,63.82
111,63.87
112,64.05
113,64.26
114,67.14
115,61.61
116,59.16
117,59.26
118,53.62
119,53.86
120,47.99
121,44.41
122,42.94
123,42.88
124,42.15
125,43.23
126,44.56
127,47.4
128,44.05
129,53.41
130,54.8
131,53.94
132,58.3
133,61.43
134,61.92
135,57
136,57.53
137,61.68
138,61.84
139,57.46
140,58.06
141,59.97
142,52.95
143,52.95
144,49.53
145,51.03
146,50.18
147,48.97
148,46.72
149,46.87
150,50.08
151,57.34
152,67.8
153,86.51
154,86.54
155,85.08
156,88.74
157,88.76
158,84.31
159,80.4
160,83.57
161,89.68
162,100
163,90.43
164,80.28
165,66.8
166,60.22
167,59.69
168,52.25
169,50.53
170,48.43
171,47.24
172,45.61
173,46.81
174,51.57
175,60.67
176,79.56
177,103.54
178,110.45
179,109.96
180,106.82
181,102.37
182,97.61
183,95
184,95.42
185,95
186,110
187,102.41
188,88.05
189,64.24
190,59.43
191,57.6
192,51.75
193,54.73
194,52.39
195,51.67
196,50.88
197,50.02
198,49.1
199,49.57
200,53.82
201,59.8
202,66.92
203,67.71
204,68
205,67.01
206,62.53
207,60
208,60
209,62.78
210,69.92
211,71.99
212,68.95
213,62.66
214,56.54
215,55.81
216,50.85
217,54.65
218,51.79
219,50.58
220,47.98
221,47.6
222,47.59
223,42.09
224,44.56
225,49.46
226,54.96
227,53.63
228,55.57
229,54.17
230,52.62
231,53.18
232,54.85
233,56.52
234,62.09
235,63.41
236,56.39
237,55.64
238,53.33
239,52.05
240,37.24
241,44.9
242,44.74
243,45.06
244,44.07
245,44.53
246,42.74
247,54.62
248,67.11
249,70.59
250,58.32
251,55.89
252,54.49
253,53.35
254,48.39
255,49.57
256,50.96
257,49.12
258,53.44
259,47.94
260,42.16
261,38.03
262,34.24
263,34.01
264,27.39
265,18.96
266,15.82
267,19
268,24.14
269,27
270,35.94
271,40.96
272,54.51
273,60.64
274,54.96
275,56.5
276,57.88
277,59.64
278,54.94
279,51.55
280,55.56
281,63.01
282,64.6
283,61.89
284,54.9
285,53.25
286,44.84
287,38.68
288,37.24
289,34.59
290,33.47
291,32.36
292,30.84
293,31.68
294,36.81
295,41.87
296,46.21
297,56.14
298,47.71
299,46.23
300,43.82
301,41.22
302,40.04
303,39.47
304,41.17
305,45.91
306,55.49
307,54.51
308,49.28
309,48.65
310,41.89
311,41
312,38.97
313,37.3
314,36.91
315,36.98
316,39.82
317,43.2
318,46.45
319,60.04
320,79.9
321,88.82
322,89.27
323,89.63
324,91.05
325,88.75
326,87.1
327,83.98
328,79.96
329,83.42
330,100.67
331,90.16
332,87.7
333,74.58
334,62.74
335,59.82
336,55.6
337,48.98
338,48.66
339,47.7
340,46.6
341,48
342,51.52
343,62.97
344,77.94
345,94.07
346,97.76
347,90.69
348,86.97
349,79.25
350,76.64
351,77.14
352,76.98
353,82
354,99.5
355,98.02
356,95.01
357,77.2
358,67.18
359,63.19
360,55.42
361,58.41
362,55.65
363,52.16
364,51.18
365,49.51
366,48.52
367,48.74
368,51.43
369,61.16
370,64.75
371,63.77
372,62.13
373,55.01
374,50.66
375,49.48
376,50.65
377,57.7
378,65.01
379,66.4
380,63.76
381,57.47
382,52.98
383,53.2
384,50.56
385,47.99
386,47.74
387,47.18
388,46.09
389,45.8
390,45.42
391,46.46
392,47.64
393,47.42
394,51.13
395,56.5
396,59.94
397,55.51
398,52.82
399,49.95
400,53.48
401,60.6
402,67.05
403,72
404,67.78
405,62.45
406,56.61
407,57.07
408,51.34
409,50.22
410,47.94
411,47.67
412,46.6
413,46.72
414,47.58
415,61.19
416,73.06
417,78.92
418,75.65
419,72.03
420,66.39
421,60.06
422,57.7
423,59.41
424,57.39
425,54.54
426,59.94
427,55.08
428,51.42
429,46.97
430,45.63
431,42.95
432,37.83
433,36.68
434,35.94
435,34.74
436,35.96
437,36.7
438,37.95
439,41.59
440,46.68
441,55.15
442,54.5
443,52.73
444,54.5
445,52.21
446,52.11
447,52.37
448,51.34
449,51.89
450,54.7
451,52.75
452,45.39
453,40.37
454,37.28
455,35.39
456,29.98
457,30.33
458,28.4
459,26.62
460,25.13
461,28.76
462,30.92
463,35.56
464,40.23
465,42.27
466,38.9
467,38.01
468,37.95
469,37.92
470,36.84
471,36.8
472,38.92
473,40.3
474,51.39
475,57.52
476,45.34
477,35.9
478,31.97
479,29.49
480,25.3
481,24.85
482,19.32
483,8.94
484,0.9
485,0.02
486,13.69
487,27.47
488,35.32
489,37.23
490,35.29
491,33.01
492,33.38
493,33.69
494,35.34
495,37.11
496,42.52
497,44.67
498,45.63
499,45.05
500,44.91
501,35.59
502,31.96
503,31.81
504,24.09
505,9.1
506,13.92
507,11.08
508,11.51
509,16.24
510,28.49
511,32.23
512,37.66
513,51.52
514,45.42
515,46.95
516,50.06
517,52.08
518,50.69
519,51.36
520,54.49
521,57.31
522,64.48
523,66.77
524,63.89
525,54.93
526,52.91
527,51.79
528,45.82
529,44.61
530,43.39
531,44.38
532,42.31
533,38.91
534,41.97
535,42.4
536,45.88
537,50
538,56.92
539,58.15
540,58.95
541,56.63
542,52
543,51
544,53.65
545,58.3
546,63.09
547,66.13
548,63.29
549,58.16
550,52.8
551,51.2
552,47.18
553,44.8
554,40.67
555,41.24
556,40.24
557,39.78
558,39.9
559,40.56
560,41.97
561,46
562,50.54
563,53.09
564,54.34
565,51.86
566,45.99
567,44.34
568,45.93
569,52
570,61.98
571,65
572,62.91
573,59.3
574,55.76
575,53.93
576,47.89
577,46.62
578,43.09
579,43
580,42.59
581,42.2
582,45.66
583,61.95
584,70
585,75.62
586,79.67
587,74.95
588,72.2
589,69.02
590,67
591,65.91
592,66.01
593,67.35
594,71.69
595,71.41
596,65.17
597,62.52
598,55.26
599,53.5
600,47.7
601,50.95
602,49.57
603,46.9
604,44.69
605,46.1
606,51.02
607,57.33
608,69.05
609,73.95
610,71.73
611,73.91
612,72
613,70
614,65.91
615,66.33
616,68.15
617,68.75
618,73.73
619,70.36
620,63.15
621,61.98
622,54.93
623,54.71
624,47.77
625,46.83
626,44.97
627,43.32
628,42.04
629,42.27
630,44.93
631,51.25
632,61.57
633,66.79
634,66.12
635,65.47
636,65.94
637,65.78
638,65.54
639,65.84
640,66.16
641,65.9
642,68.17
643,70.48
644,63.99
645,59.64
646,55.75
647,53.1
648,49.94
649,46.87
650,44.93
651,43.83
652,42.4
653,43.64
654,44.41
655,53.52
656,63.46
657,68.39
658,66.7
659,64.98
660,64
661,60.74
662,60.08
663,59.6
664,56.71
665,55
666,60.62
667,63.33
668,60.7
669,54.92
670,52.02
671,51.02
672,45.51
673,42.71
674,39.86
675,38.42
676,37.85
677,37.61
678,39.83
679,45
680,55.42
681,58.56
682,58.88
683,56.67
684,54.73
685,53.42
686,49.01
687,46.02
688,50.69
689,54.98
690,59.54
691,60.79
692,59.38
693,54.34
694,50.03
695,45.9
696,42.79
697,42.02
698,39.42
699,37.54
700,35.81
701,34.86
702,38.09
703,41.08
704,43.35
705,48.74
706,57.73
707,57.81
708,57.78
709,55.13
710,50.6
711,47.99
712,48.05
713,56.58
714,60.58
715,61.65
716,59.62
717,52.78
718,46.96
719,46.98
720,42.3
721,42.08
722,40.98
723,40.51
724,39.5
725,38.61
726,40.41
727,40.37
728,41.29
729,44.85
730,49.15
731,50.73
732,51.14
733,50.37
734,46.23
735,45.9
736,47.92
737,52.92
738,64.46
739,63.88
740,62.35
741,57.99
742,51.34
743,49.28
744,45.36
745,41.18
746,40
747,40
748,38.51
749,36.48
750,39.99
751,53.94
752,63.39
753,64.81
754,65.1
755,64.66
756,65.57
757,64.46
758,64.76
759,64
760,63.3
761,64.26
762,70.17
763,81.58
764,69.9
765,62.29
766,56.36
767,55.25
768,49.4
769,46.13
770,45.05
771,43.59
772,42.08
773,43.98
774,46.09
775,58.17
776,63.34
777,78.13
778,69.46
779,66.28
780,65.17
781,61.47
782,61.04
783,59.47
784,54.45
785,47.97
786,58.14
787,58.18
788,58.06
789,49.96
790,47.47
791,46.54
792,40.62
793,35.58
794,31.41
795,30.78
796,29.99
797,31.76
798,37.91
799,41.2
800,55.91
801,56.08
802,56.08
803,54.03
804,56.97
805,54.31
806,51.79
807,45.92
808,43.62
809,42.01
810,48.01
811,53.25
812,50.86
813,43.71
814,41.79
815,40.15
816,35.51
817,33.87
818,33.39
819,32.89
820,31.99
821,35.2
822,39.37
823,48.32
824,57.15
825,59.19
826,57.7
827,54.94
828,56.43
829,56.09
830,55.69
831,56.56
832,58.19
833,59.42
834,71.5
835,71.5
836,67.51
837,59.39
838,53.78
839,52.7
840,46.22
841,45.57
842,44.01
843,42.24
844,41.2
845,40.52
846,43.36
847,50.43
848,58.65
849,62.02
850,61.03
851,59.54
852,58.54
853,57.9
854,54.51
855,50
856,48
857,49.69
858,56.92
859,58.63
860,57.46
861,51.1
862,49.89
863,48.49
864,43.58
865,40.68
866,39
867,38.33
868,35.08
869,34.9
870,35.07
871,35.2
872,36.93
873,41.89
874,43.15
875,43.5
876,43.47
877,41.14
878,35.46
879,35.37
880,33.13
881,30.92
882,39.44
883,43.95
884,42.98
885,35.31
886,30.29
887,26.03
888,11.94
889,-1.24
890,-1.59
891,-0.02
892,-0.04
893,-2.01
894,-0.09
895,-3.84
896,-0.09
897,-2.38
898,12.03
899,28.56
900,37.02
901,37.32
902,26.97
903,16.53
904,20.92
905,28.17
906,39.14
907,43.44
908,40.71
909,37.05
910,36.55
911,39.89
912,32.05
913,7.69
914,4.59
915,14.05
916,12.79
917,0.09
918,20.54
919,43.97
920,55.63
921,58.14
922,56.75
923,55.88
924,57.22
925,55.58
926,55.5
927,48.88
928,54.96
929,55.06
930,61.45
931,64.32
932,61.62
933,55.56
934,49.83
935,49.05
936,45.29
937,47.75
938,47.02
939,46.66
940,46.05
941,46.4
942,47.97
943,58.16
944,72.98
945,80.64
946,80.85
947,79.98
948,75.51
949,69.89
950,70.26
951,70.37
952,71.82
953,71.02
954,79.06
955,80
956,74
957,64.95
