MTU (CET/CEST),FC_Solar,Act_Solar,Day_Ahead_Price
01.01.2021 00:00 - 01.01.2021 00:15,0,0,50.87
01.01.2021 00:15 - 01.01.2021 00:30,0,0,48.19
01.01.2021 00:30 - 01.01.2021 00:45,0,0,44.68
01.01.2021 00:45 - 01.01.2021 01:00,0,0,42.92
01.01.2021 01:00 - 01.01.2021 01:15,0,0,40.39
01.01.2021 01:15 - 01.01.2021 01:30,0,0,40.2
01.01.2021 01:30 - 01.01.2021 01:45,0,0,39.63
01.01.2021 01:45 - 01.01.2021 02:00,0,0,40.09
01.01.2021 02:00 - 01.01.2021 02:15,0,0,41.27
01.01.2021 02:15 - 01.01.2021 02:30,0,0,44.88
01.01.2021 02:30 - 01.01.2021 02:45,0,0,45
01.01.2021 02:45 - 01.01.2021 03:00,0,0,47.2
01.01.2021 03:00 - 01.01.2021 03:15,0,0,50.78
01.01.2021 03:15 - 01.01.2021 03:30,0,0,45.49
01.01.2021 03:30 - 01.01.2021 03:45,0,0,44.73
01.01.2021 03:45 - 01.01.2021 04:00,0,0,46.59
01.01.2021 04:00 - 01.01.2021 04:15,0,0,52.99
01.01.2021 04:15 - 01.01.2021 04:30,0,0,60.26
01.01.2021 04:30 - 01.01.2021 04:45,0,0,60.61
01.01.2021 04:45 - 01.01.2021 05:00,0,0,60.36
01.01.2021 05:00 - 01.01.2021 05:15,0,0,57.4
01.01.2021 05:15 - 01.01.2021 05:30,0,0,53.86
01.01.2021 05:30 - 01.01.2021 05:45,0,0,53.45
01.01.2021 05:45 - 01.01.2021 06:00,0,0,49.72
01.01.2021 06:00 - 01.01.2021 06:15,0,0,46.69
01.01.2021 06:15 - 01.01.2021 06:30,0,0,42.43
01.01.2021 06:30 - 01.01.2021 06:45,0,0,41.09
01.01.2021 06:45 - 01.01.2021 07:00,0,0,40
01.01.2021 07:00 - 01.01.2021 07:15,0,0,37.55
01.01.2021 07:15 - 01.01.2021 07:30,0,0,39
01.01.2021 07:30 - 01.01.2021 07:45,0,0,42.09
01.01.2021 07:45 - 01.01.2021 08:00,0,0,44.96
01.01.2021 08:00 - 01.01.2021 08:15,7,22,48.45
01.01.2021 08:15 - 01.01.2021 08:30,56,83,52
01.01.2021 08:30 - 01.01.2021 08:45,246,215,52
01.01.2021 08:45 - 01.01.2021 09:00,445,456,52.15
01.01.2021 09:00 - 01.01.2021 09:15,719,779,55.95
01.01.2021 09:15 - 01.01.2021 09:30,1063,1137,52
01.01.2021 09:30 - 01.01.2021 09:45,1431,1565,50.69
01.01.2021 09:45 - 01.01.2021 10:00,1846,1974,53.45
01.01.2021 10:00 - 01.01.2021 10:15,2236,2402,59.99
01.01.2021 10:15 - 01.01.2021 10:30,2596,2803,62
01.01.2021 10:30 - 01.01.2021 10:45,2941,3198,63.08
01.01.2021 10:45 - 01.01.2021 11:00,3265,3543,62.17
01.01.2021 11:00 - 01.01.2021 11:15,3570,3860,60.03
01.01.2021 11:15 - 01.01.2021 11:30,3842,4139,55.03
01.01.2021 11:30 - 01.01.2021 11:45,4058,4384,52.25
01.01.2021 11:45 - 01.01.2021 12:00,4224,4567,48.45
01.01.2021 12:00 - 01.01.2021 12:15,4340,4786,46.11
01.01.2021 12:15 - 01.01.2021 12:30,4375,4885,43
01.01.2021 12:30 - 01.01.2021 12:45,4363,4874,39.55
01.01.2021 12:45 - 01.01.2021 13:00,4299,4762,35.18
01.01.2021 13:00 - 01.01.2021 13:15,4173,4571,33.45
01.01.2021 13:15 - 01.01.2021 13:30,3987,4389,32.37
01.01.2021 13:30 - 01.01.2021 13:45,3745,4159,31.7
01.01.2021 13:45 - 01.01.2021 14:00,3472,3818,32.63
01.01.2021 14:00 - 01.01.2021 14:15,3174,3382,36.9
01.01.2021 14:15 - 01.01.2021 14:30,2826,2954,36.96
01.01.2021 14:30 - 01.01.2021 14:45,2441,2508,36.96
01.01.2021 14:45 - 01.01.2021 15:00,2034,2056,43.72
01.01.2021 15:00 - 01.01.2021 15:15,1617,1596,47.71
01.01.2021 15:15 - 01.01.2021 15:30,1215,1123,40.41
01.01.2021 15:30 - 01.01.2021 15:45,834,699,39.66
01.01.2021 15:45 - 01.01.2021 16:00,525,361,39.57
01.01.2021 16:00 - 01.01.2021 16:15,261,139,36.11
01.01.2021 16:15 - 01.01.2021 16:30,131,33,45.04
01.01.2021 16:30 - 01.01.2021 16:45,7,3,52.56
01.01.2021 16:45 - 01.01.2021 17:00,2,0,45.84
01.01.2021 17:00 - 01.01.2021 17:15,0,0,35.83
01.01.2021 17:15 - 01.01.2021 17:30,0,0,33.31
01.01.2021 17:30 - 01.01.2021 17:45,0,0,34.98
01.01.2021 17:45 - 01.01.2021 18:00,0,0,27.39
01.01.2021 18:00 - 01.01.2021 18:15,0,0,29.33
01.01.2021 18:15 - 01.01.2021 18:30,0,0,24.82
01.01.2021 18:30 - 01.01.2021 18:45,0,0,24.65
01.01.2021 18:45 - 01.01.2021 19:00,0,0,24.8
01.01.2021 19:00 - 01.01.2021 19:15,0,0,27.71
01.01.2021 19:15 - 01.01.2021 19:30,0,0,28.58
01.01.2021 19:30 - 01.01.2021 19:45,0,0,37.04
01.01.2021 19:45 - 01.01.2021 20:00,0,0,52.03
01.01.2021 20:00 - 01.01.2021 20:15,0,0,55.76
01.01.2021 20:15 - 01.01.2021 20:30,0,0,57.06
01.01.2021 20:30 - 01.01.2021 20:45,0,0,57.18
01.01.2021 20:45 - 01.01.2021 21:00,0,0,60
01.01.2021 21:00 - 01.01.2021 21:15,0,0,61.27
01.01.2021 21:15 - 01.01.2021 21:30,0,0,60.28
01.01.2021 21:30 - 01.01.2021 21:45,0,0,60.07
01.01.2021 21:45 - 01.01.2021 22:00,0,0,59.46
01.01.2021 22:00 - 01.01.2021 22:15,0,0,61.99
01.01.2021 22:15 - 01.01.2021 22:30,0,0,66.82
01.01.2021 22:30 - 01.01.2021 22:45,0,0,61.97
01.01.2021 22:45 - 01.01.2021 23:00,0,0,55.06
01.01.2021 23:00 - 01.01.2021 23:15,0,0,47.34
01.01.2021 23:15 - 01.01.2021 23:30,0,0,45.64
01.01.2021 23:30 - 01.01.2021 23:45,0,0,48.93
01.01.2021 23:45 - 02.01.2021 00:00,0,0,44.64
02.01.2021 00:00 - 02.01.2021 00:15,0,0,37.54
02.01.2021 00:15 - 02.01.2021 00:30,0,0,40.07
02.01.2021 00:30 - 02.01.2021 00:45,0,0,39.81
02.01.2021 00:45 - 02.01.2021 01:00,0,0,39.65
02.01.2021 01:00 - 02.01.2021 01:15,0,0,40.2
02.01.2021 01:15 - 02.01.2021 01:30,0,0,44.26
02.01.2021 01:30 - 02.01.2021 01:45,0,0,47.06
02.01.2021 01:45 - 02.01.2021 02:00,0,0,54.96
02.01.2021 02:00 - 02.01.2021 02:15,0,0,63.67
